id,LABEL,original_shape2D_Elongation,original_shape2D_MajorAxisLength,original_shape2D_MaximumDiameter,original_shape2D_MeshSurface,original_shape2D_MinorAxisLength,original_shape2D_Perimeter,original_shape2D_PerimeterSurfaceRatio,original_shape2D_PixelSurface,original_shape2D_Sphericity,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
47,0,0.7146058352360601,123.20356989697541,121.75385004179539,8464.5,88.04198997029242,358.0487732352802,0.042300050001214506,8465.0,0.9108846774665719,28.0,123.0,61333810.0,6.314553974229785,46.0,3.6815517289552564,230.0,29.271792339046605,76.28848198464264,74.0,0.0,230.0,19.825212368698512,85.12095559909308,0.5367971073077714,61333810.0,0.015008312257588228,1425.6445985816306,2236.768100358423,9373805.298359782,29081.516348328383,1678.725193093043,81.89820788530466,0.9069668075071644,5.40310633213859,3.892620631770825,52.704649848908524,0.2966164264277563,0.20747359074695237,0.9955976579359542,0.9617227222115692,-0.30559443945641357,0.9893962979361954,0.2090427795045516,42.866786140979684,0.0008899551650158657,10.69757371553179,0.9505940042299594,0.0035842293906810036,85.73357228195938,7.320095702565052,440.15585024458693,6.9276879278654135,6270.041464855287,0.7407018859840858,0.1546198672899668,127.04536326048435,441.3222824116118,2286.4839929119908,1.5023036030714707,3178.3290017720024,0.038604109626165374,0.011654952808031672,0.8853186322766949,2078.9744700400342,0.006902726099786642,115.72661870503597,0.014867242896330417,441.3545747383887,2329.918036998972,1.2886690647482015,2831.5268499486124,0.02837662285861957,0.00843775346673461,6.7302979340982985,6670.345837615621,0.85693034912842,0.9195510927347903,0.10604075651532804,0.9410779590613223,2221.7769949397625,0.00655504076158332,115.72661870503597,0.014867242896330417,441.3545747383887,2329.918036998972,1.2886690647482015,2831.5268499486124,0.02837662285861957,0.00843775346673461,6670.345837615621,0.85693034912842,0.9410779590613223,2221.7769949397625,0.00655504076158332,6.7302979340982985,0.9195510927347903,0.10604075651532804,0.08289986140584533,0.002209801100932567,25675.332064165657,0.2275075611047236,16.078483718830295
48,0,0.8446293718334835,15.932742840387057,16.55294535724685,165.5,13.45726257686055,48.38477631085023,0.2923551438722068,166.0,0.9425300241365259,25.5,140.0,1271139.0,5.981235124692467,63.75,3.8157236462157056,238.0,35.871244012193365,75.05421686746988,63.5,12.0,226.0,25.140708915145,87.50693604178863,1.0135713912137914,1271139.0,0.018943242850921756,2024.3283858324864,1562.3576158940398,17138710.89028235,95886.33357721331,1995.9546511117937,294.28476821192055,0.743009603512265,12.774834437086092,4.858911300799505,131.0883733169598,0.15069507780143568,0.0746483017447146,0.9835112723362955,0.9145172058420725,-0.6257807349299748,0.9996926436787084,0.0745098363237379,33.71854304635762,0.003705977807990878,8.119199441311743,0.9350335374796321,0.006622516556291391,67.43708609271523,6.409540398291462,572.5598548309284,6.0436720402141555,150.7710843373494,0.9082595442008999,0.04587022789955,3.144578313253012,650.8049426622151,1962.0301204819277,1.144578313253012,2108.4518072289156,0.03109227866105479,0.030173877385232858,0.963855421686747,1925.4246987951808,0.02994427706627737,3.0617283950617282,0.0188995579942082,655.4712696235331,1985.469135802469,1.0740740740740742,2060.4876543209875,0.031232604011589307,0.030762065086322517,6.0249920588843775,154.19753086419752,0.9518366102728243,0.9759036144578314,0.024081694863587865,0.9814814814814815,1966.7145061728395,0.030644430355005817,3.0617283950617282,0.0188995579942082,655.4712696235331,1985.469135802469,1.0740740740740742,2060.4876543209875,0.031232604011589307,0.030762065086322517,154.19753086419752,0.9518366102728243,0.9814814814814815,1966.7145061728395,0.030644430355005817,6.0249920588843775,0.9759036144578314,0.024081694863587865,0.011600630485844974,0.044225389636339416,24783.926288203096,1.9790142805921396,168.3910645969117
49,0,0.629042885869296,14.189988503030783,14.866068747318506,97.5,8.926111318398616,38.97056274847713,0.3996980794715603,98.0,0.8981948542381134,64.7,162.09999999999997,1177274.0,5.43462065542392,42.25,3.5197844732908257,221.0,29.913369429404415,102.55102040816327,97.0,43.0,178.0,19.944773175542405,109.60383204979651,1.0127670053889948,1177274.0,0.029154518950437316,1496.2882132444815,2060.5056179775283,19942244.53638208,108341.93665253358,2199.522535033455,321.59550561797755,0.744878660631947,11.393258426966291,4.484843816193606,191.7891680343391,0.2459463393223294,0.1700217575849442,0.9822269754152997,0.9261247057653926,-0.6464519044255491,0.9995089879890788,0.12663879903623215,39.88764044943821,0.00713293776038379,7.251014329842751,0.9656021528938419,0.02247191011235955,79.77528089887639,5.947423880307344,630.2795101628582,5.702627415694228,73.51020408163265,0.7501041232819659,0.17742607246980424,2.857142857142857,772.2936276551437,2653.0204081632655,1.530612244897959,3268.122448979592,0.015685025600643485,0.013390763517713237,0.8900226757369615,2536.002267573696,0.012835401554463168,2.3777777777777778,0.026419753086419754,806.0044444444445,2789.222222222222,1.3111111111111111,3160.133333333333,0.015437571753387705,0.014170634021903942,5.632030007604611,78.62222222222222,0.8735802469135803,0.9183673469387755,0.1254320987654321,0.9469135802469136,2736.519135802469,0.013873721240513944,2.3777777777777778,0.026419753086419754,806.0044444444445,2789.222222222222,1.3111111111111111,3160.133333333333,0.015437571753387705,0.014170634021903942,78.62222222222222,0.8735802469135803,0.9469135802469136,2736.519135802469,0.013873721240513944,5.632030007604611,0.9183673469387755,0.1254320987654321,0.013774971348958453,0.0399673735725938,23871.209196614043,6.2306648746355195,183.15516385535398
50,0,0.8622157963798599,8.58411655236675,8.94427190999916,49.5,7.401360889416434,26.485281374238568,0.5350561893785569,50.0,0.9416791188709017,10.0,123.0,225535.0,4.863465189601637,66.0,3.128723418956989,174.0,37.26,49.9,27.0,2.0,172.0,28.247165532879816,67.16174506368934,1.1365291274434621,225535.0,0.0392,2020.6899999999996,1499.3953488372092,32077899.391763367,217216.0508131359,2962.3948080043265,682.9767441860465,0.6252910111312686,18.372093023255815,4.3684986278331595,345.44294213088153,0.12361559302488767,0.047989138745677645,0.9638568391146127,0.8869640586578322,-0.6857262791118158,0.9992919767752444,0.07369095384916984,30.48837209302326,0.013250405624661976,6.286729870981142,0.961232237899577,0.023255813953488372,60.97674418604651,4.961148475632319,911.3428880475933,4.863465189601637,50.0,1.0,0.0,1.96,1122.1456,2426.8,1.0,2426.8,0.026229950038004587,0.026229950038004587,1.0,2426.8,0.026229950038004587,1.96,0.0392,1122.1456,2426.8,1.0,2426.8,0.026229950038004587,0.026229950038004587,4.863465189601637,50.0,1.0,1.0,0.0,1.0,2426.8,0.026229950038004587,1.96,0.0392,1122.1456,2426.8,1.0,2426.8,0.026229950038004587,0.026229950038004587,50.0,1.0,1.0,2426.8,0.026229950038004587,4.863465189601637,1.0,0.0,0.028380539058931023,0.03353454057679409,24879.78561904762,34.875775181818184,198.08926264472885
51,0,0.8971601481920891,21.476986246628215,23.021728866442675,322.5,19.268296163744427,68.04163056034258,0.21098180018710877,323.0,0.9356104824298955,13.0,108.0,1225084.0,6.187597471845666,50.0,3.221586377223753,162.0,28.88610070066808,50.21052631578947,40.0,2.0,160.0,20.4019455922865,61.58595392914061,0.9889386699891434,1225084.0,0.016860125180918055,1271.7327684536417,2077.427631578947,28744857.837947864,164407.73831314253,2890.1578514542934,129.7171052631579,0.9140910752118308,7.848684210526315,4.377387354524031,68.11526142659278,0.2356241752667797,0.1485999349051606,0.9925470139364698,0.945266392071576,-0.5648950518356598,0.9995150552916786,0.13573223591930542,37.24671052631578,0.002483336218836565,8.813652677888646,0.9433854748618445,0.006578947368421052,74.49342105263158,6.846460412397228,754.9687391793627,6.476045931858724,259.9907120743034,0.8049248051836019,0.12238207976689128,5.445820433436532,814.5127816810284,2348.0959752321983,1.3715170278637772,3009.6130030959753,0.010559011853886077,0.008731684473148198,0.9174406604747162,2187.842277261782,0.008327213099984463,4.868421052631579,0.01601454293628809,801.3710180055401,2379.342105263158,1.207236842105263,2735.6743421052633,0.009991352801891062,0.008970515429504238,6.390795116812766,273.42763157894734,0.8994329986149584,0.9411764705882353,0.07833059210526316,0.9591557017543859,2295.70495248538,0.008770939087929561,4.868421052631579,0.01601454293628809,801.3710180055401,2379.342105263158,1.207236842105263,2735.6743421052633,0.009991352801891062,0.008970515429504238,273.42763157894734,0.8994329986149584,0.9591557017543859,2295.70495248538,0.008770939087929561,6.390795116812766,0.9411764705882353,0.07833059210526316,0.011087300847852418,0.03571428571428572,23541.132345958038,1.1712577252471812,190.04245241126145
52,0,0.6566630881147495,13.566607872120523,13.601470508735444,94.5,8.908690620548533,37.556349186104036,0.3974216845090374,95.0,0.9175663281879862,55.0,139.60000000000002,904124.0,5.856440476638113,54.0,2.181520844350498,173.0,27.356011080332408,92.06315789473685,86.0,48.0,125.0,21.56181480856805,97.55559818299565,0.5775434604315045,904124.0,0.019168975069252074,1041.469695290859,2637.302325581395,35839885.76986699,176204.33281346312,3756.6149269875614,208.8139534883721,0.8946827897902887,11.302325581395348,4.590362761105902,81.07138994050838,0.16809057086519974,0.08813389046783547,0.9877073562658943,0.9225298653745042,-0.7361474587092277,0.9999025122147583,0.0958643598234069,41.837209302325576,0.0063547863710113565,7.333241498888091,0.991582282843044,0.011627906976744186,83.67441860465117,5.934815190673119,991.357220118983,5.88543929245036,87.33684210526316,0.9193351800554017,0.04033240997229917,1.8210526315789475,1088.271024930748,3177.242105263158,1.1263157894736842,3765.8736842105263,0.014749257312369759,0.014611618001795024,0.968421052631579,3030.084210526316,0.014577208174151335,1.7741935483870968,0.019077349982656956,1080.4830616256215,3145.3548387096776,1.064516129032258,3446.0,0.014972712777835776,0.014902413129961585,5.883034617466572,89.08602150537635,0.9579142097352296,0.9789473684210527,0.021042895132385248,0.9838709677419355,3070.1935483870966,0.014884838217993034,1.7741935483870968,0.019077349982656956,1080.4830616256215,3145.3548387096776,1.064516129032258,3446.0,0.014972712777835776,0.014902413129961585,89.08602150537635,0.9579142097352296,0.9838709677419355,3070.1935483870966,0.014884838217993034,5.883034617466572,0.9789473684210527,0.021042895132385248,0.005319197950645951,0.0822867042009528,18345.232155388472,3.8298593922479327,427.3027643292206
53,0,0.7002441940556838,21.54681037035025,22.80350850198276,246.5,15.088028862256563,62.04163056034258,0.251690184828976,247.0,0.8970779677421364,49.0,133.0,2179730.0,6.22189313358343,53.0,2.782540392035052,182.0,28.010883640118667,87.59514170040485,81.0,38.0,144.0,21.14533233031619,93.94050145578947,0.725079211954476,2179730.0,0.015850120474028423,1151.908964251176,2488.684210526316,26480763.16445162,122260.12924624584,3081.4889196675895,333.86842105263156,0.8044899038399149,12.692982456140351,4.977910385060146,172.75661742074485,0.21083113910191512,0.14194486699420217,0.9815097231649539,0.9167696333290557,-0.6047449178259301,0.9997071805946912,0.11979233792837056,42.44736842105263,0.002847029855340105,8.586115178609829,0.8895664144783846,0.013157894736842105,84.89473684210526,6.777991935513987,853.8393351800554,6.505827912255966,192.53846153846155,0.7795079414512613,0.12086741300463866,3.91497975708502,910.1142782212461,2901.008097165992,1.3967611336032388,3356.7975708502026,0.008879036225619938,0.00746504736969546,0.9053081421502475,2787.510571300045,0.007156534411224911,3.4761904761904763,0.015048443619872192,932.2527688761454,3020.8614718614717,1.2164502164502164,3264.974025974026,0.008543802811482945,0.007744549029202977,6.465137734601376,202.82683982683983,0.8780382676486572,0.9352226720647774,0.07312456663106014,0.9506974506974507,2960.314333814334,0.007592835631733031,3.4761904761904763,0.015048443619872192,932.2527688761454,3020.8614718614717,1.2164502164502164,3264.974025974026,0.008543802811482945,0.007744549029202977,202.82683982683983,0.8780382676486572,0.9506974506974507,2960.314333814334,0.007592835631733031,6.465137734601376,0.9352226720647774,0.07312456663106014,0.010613525504326298,0.03169104439312292,36264.62410010143,2.028506777131466,169.88440676268837
54,0,0.9516387765169698,31.15374008969789,33.015148038438355,718.5,29.647107102887773,101.59797974644678,0.14140289456707972,719.0,0.9352619071520165,1.0,43.0,843746.0,3.2233538655559033,15.5,19.846443547779426,229.0,18.891885461379097,14.86509040333797,1.0,0.0,229.0,8.856519353101676,34.2563761158373,3.7539722398006,843746.0,0.31125171918191125,952.5283918902973,317.56313497822936,25033570.474126548,137827.46568225973,1043.2754144013008,33.126269956458636,0.9384499849120479,2.6734397677793904,2.7044593071715335,25.97898976451431,0.6574768755534447,0.6222747696537958,0.998033159471684,0.9808814490072764,-0.45711243659161566,0.9693721489406256,0.16599029110711286,8.063860667634252,0.246870266956802,4.7391294102101575,0.9898606517663395,0.49056603773584906,16.127721335268504,3.763124901226771,269.1004210894399,3.93360142336799,269.65924895688454,0.37504763415422054,0.8327746193620021,223.78998609179416,298.0907766736755,375.99165507649514,4.905424200278164,497.7107093184979,4.263156040677325,0.5756836996259045,0.4965229485396384,347.16597125637463,0.11616915985824455,22.56373937677054,0.06391994157725366,462.18659968381104,725.4900849858357,16.11614730878187,862.7648725212465,15.068624429149018,0.20329784020305106,5.65861835108384,244.671388101983,0.693120079609017,0.4909596662030598,11.967482284586183,0.8474056303703565,697.1319901440626,0.08914832605942405,22.56373937677054,0.06391994157725366,462.18659968381104,725.4900849858357,16.11614730878187,862.7648725212465,15.068624429149018,0.20329784020305106,244.671388101983,0.693120079609017,0.8474056303703565,697.1319901440626,0.08914832605942405,5.65861835108384,0.4909596662030598,11.967482284586183,0.34862332253586303,0.00917665377595691,6496.068246857134,0.39399451871299634,181.37306495457167
55,0,0.58973523389504,35.818064543420036,36.87817782917155,584.5,21.123174671181452,99.25483399593912,0.16981152095113622,585.0,0.8634665587657965,14.0,56.0,714000.0,5.534945931986014,20.0,7.021172937310861,137.0,13.279310395207833,30.12991452991453,24.0,1.0,136.0,8.829694779921635,34.9358386261561,1.6898075928883691,714000.0,0.028662429688070715,312.7010709328659,906.4412811387899,4173768.2473945245,37257.62150987104,839.8514868099443,91.96975088967972,0.8026021576483398,6.4288256227758005,4.0969815324038805,50.63995200162105,0.2671289622370161,0.1788305030290448,0.9947130571289002,0.9544767973473067,-0.34981479062200105,0.9890378838646747,0.16285310877423106,26.822953736654803,0.0026975342257570195,9.023411657269573,0.8889686656321764,0.019572953736654804,53.645907473309606,6.3212001630688075,232.95530942490598,6.010976588762049,440.0290598290598,0.7521864270582219,0.1414741763459712,16.76752136752137,276.48892979764776,1057.2376068376068,1.4649572649572649,1407.1692307692308,0.006632179419680664,0.005404623475450739,0.891358024691358,972.087084520418,0.005122712088519302,14.44177449168207,0.026694592406066673,285.800069017121,1080.9149722735674,1.2587800369685767,1272.380776340111,0.0063190617686691335,0.005631056556789067,5.9049292939632325,466.3826247689464,0.8620750919943556,0.9247863247863248,0.08950358923196244,0.9435202300266996,1035.5705997124667,0.005486064302781594,14.44177449168207,0.026694592406066673,285.800069017121,1080.9149722735674,1.2587800369685767,1272.380776340111,0.0063190617686691335,0.005631056556789067,466.3826247689464,0.8620750919943556,0.9435202300266996,1035.5705997124667,0.005486064302781594,5.9049292939632325,0.9247863247863248,0.08950358923196244,0.049836028814081904,0.013709223847019121,13828.389862077556,0.6283990603803526,49.264476107696446
56,0,0.7736290836216975,15.447586488655976,16.55294535724685,140.5,11.950702179385837,46.6274169979695,0.3318677366403523,141.0,0.9011596474895441,1.0,51.0,156316.0,4.503572105604199,20.0,12.742883194792118,163.0,18.10200694130074,18.595744680851062,6.0,0.0,163.0,10.574121148242297,33.29600747049378,2.8723943889680803,156316.0,0.08133393692470196,762.8223932397768,371.30158730158735,16550742.035494464,108913.55879494653,1115.4671201814058,227.015873015873,0.6617970221355158,8.412698412698411,4.024619504655323,156.24237843285462,0.3715727619995369,0.31326321703170107,0.9874663723712258,0.9449906975485302,-0.5057444349954191,0.9933627242132999,0.23230272226563475,12.214285714285714,0.025919627110103295,6.389590789309379,0.9447324114208224,0.11904761904761904,24.428571428571427,5.066521249770613,335.6207482993197,5.126071389005562,82.84397163120568,0.5875458980936573,0.3474674312157336,11.46808510638298,471.2103012926915,697.7021276595744,2.106382978723404,714.0851063829788,1.043193396646702,0.25770802430627654,0.7943262411347518,693.7955082742317,0.12487096018098105,6.372881355932203,0.05400746911806952,524.25,830.5,1.9576271186440677,840.7118644067797,0.9322427451456354,0.1742832642134321,5.219868927293403,92.71186440677967,0.7856937661591497,0.8368794326241135,0.5298046538351049,0.906114570121834,828.233798185941,0.12148706014741308,6.372881355932203,0.05400746911806952,524.25,830.5,1.9576271186440677,840.7118644067797,0.9322427451456354,0.1742832642134321,92.71186440677967,0.7856937661591497,0.906114570121834,828.233798185941,0.12148706014741308,5.219868927293403,0.8368794326241135,0.5298046538351049,0.08315580755112743,0.027785988767366245,11522.085672476787,3.594503782745668,145.4821057033823
